web-scraper-order,web-scraper-start-url,Game,Game-href,Title,Release Date,Metascore,User Score,Genre,Num_Players
"1630853911-680","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","NASCAR Racing 4","https://www.metacritic.com/game/pc/nascar-racing-4","NASCAR Racing 4","Feb  6, 2001","89","7.4","Genre(s): Driving,                                            Racing,                                            Simulation,                                            Stock Car,                                            Stock Car,                                            Automobile","null"
"1630854021-716","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Brothers: A Tale of Two Sons","https://www.metacritic.com/game/pc/brothers-a-tale-of-two-sons","Brothers: A Tale of Two Sons","Sep  3, 2013","90","8.5","Genre(s): Action Adventure,                                            Fantasy,                                            Fantasy,                                            Linear","No Online Multiplayer"
"1630853853-659","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","DUSK","https://www.metacritic.com/game/pc/dusk","DUSK","Dec 10, 2018","88","8.3","Genre(s): Action,                                            Shooter,                                            First-Person,                                            Arcade","Online Multiplayer"
"1630853913-681","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","World in Conflict","https://www.metacritic.com/game/pc/world-in-conflict","World in Conflict","Sep 18, 2007","89","8.1","Genre(s): Strategy,                                            Real-Time,                                            Modern,                                            General","16  Online"
"1630853904-677","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Nuclear Throne","https://www.metacritic.com/game/pc/nuclear-throne","Nuclear Throne","Dec  5, 2015","89","7.7","Genre(s): General,                                            Action,                                            General,                                            Shooter,                                            Shoot-'Em-Up,                                            Top-Down","No Online Multiplayer"
"1630853966-698","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Pillars of Eternity","https://www.metacritic.com/game/pc/pillars-of-eternity","Pillars of Eternity","Mar 26, 2015","89","8.3","Genre(s): PC-style RPG,                                            Third-Person,                                            PC-style RPG,                                            Role-Playing,                                            Western-Style","No Online Multiplayer"
"1630853997-711","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","GTR 2","https://www.metacritic.com/game/pc/gtr-2","GTR 2","Sep 29, 2006","90","8.6","Genre(s): Driving,                                            Racing,                                            Simulation,                                            GT / Street,                                            GT / Street,                                            Automobile","24  Online"
"1630853833-651","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","F.E.A.R.","https://www.metacritic.com/game/pc/fear","FEAR","Jul  8, 2021","null","tbd","Genre(s): Action Adventure,                                            Survival","No Online Multiplayer"
"1630853807-645","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Starcraft","https://www.metacritic.com/game/pc/starcraft","Starcraft","Mar 31, 1998","88","9.1","Genre(s): Strategy,                                            Real-Time,                                            Sci-Fi,                                            Sci-Fi,                                            Command","1-8"
"1630854025-718","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Deus Ex: Human Revolution","https://www.metacritic.com/game/pc/deus-ex-human-revolution","Deus Ex: Human Revolution","Aug 23, 2011","90","8.5","Genre(s): Action,                                            Action Adventure,                                            Shooter,                                            Sci-Fi,                                            Sci-Fi,                                            General,                                            First-Person,                                            Sci-Fi","No Online Multiplayer"
"1630853847-657","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Mafia","https://www.metacritic.com/game/pc/mafia","Mafia","Aug 27, 2002","88","9.2","Genre(s): Action Adventure,                                            Historic,                                            Historic,                                            Open-World","No Online Multiplayer"
"1630853867-665","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Stardew Valley","https://www.metacritic.com/game/pc/stardew-valley","Stardew Valley","Feb 26, 2016","89","8.8","Genre(s): General,                                            Role-Playing,                                            General","No Online Multiplayer"
"1630853893-673","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Rise of Nations","https://www.metacritic.com/game/pc/rise-of-nations","Rise of Nations","May 20, 2003","89","8.8","Genre(s): Strategy,                                            Real-Time,                                            Historic,                                            General,                                            Historic","1-8"
"1630853972-701","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Age of Mythology","https://www.metacritic.com/game/pc/age-of-mythology","Age of Mythology","Nov  1, 2002","89","8.9","Genre(s): Strategy,                                            Real-Time,                                            Fantasy,                                            General,                                            Fantasy","1-12"
"1630854027-719","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Falcon 4.0: Allied Force","https://www.metacritic.com/game/pc/falcon-40-allied-force","Falcon 4.0: Allied Force","Jun 28, 2005","90","7.7","Genre(s): Simulation,                                            Flight,                                            Modern Jet,                                            Modern Jet,                                            Combat","16  Online"
"1630853843-655","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","LIMBO","https://www.metacritic.com/game/pc/limbo","LIMBO","Aug  2, 2011","88","8.1","Genre(s): Action,                                            Platformer,                                            Platformer,                                            2D,                                            2D","No Online Multiplayer"
"1630854006-715","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Dota 2","https://www.metacritic.com/game/pc/dota-2","Dota 2","Jul  9, 2013","90","6.5","Genre(s): General,                                            Fantasy,                                            MOBA,                                            Strategy,                                            Real-Time,                                            MOBA","Up to 10"
"1630853979-704","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Star Wars Jedi Knight II: Jedi Outcast","https://www.metacritic.com/game/pc/star-wars-jedi-knight-ii-jedi-outcast","Star Wars Jedi Knight II: Jedi Outcast","Mar 26, 2002","89","8.7","Genre(s): Action,                                            Action Adventure,                                            Shooter,                                            Shooter,                                            Linear,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade","Up to 16"
"1630853922-685","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Borderlands 2","https://www.metacritic.com/game/pc/borderlands-2","Borderlands 2","Sep 17, 2012","89","8.2","Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade","Up to 4"
"1630853970-700","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Sacrifice (2000)","https://www.metacritic.com/game/pc/sacrifice-2000","Sacrifice (2000)","Nov  5, 2000","89","8.7","Genre(s): Strategy,                                            Real-Time,                                            Fantasy,                                            General,                                            Fantasy","No Online Multiplayer"
"1630854030-720","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Sid Meier's Civilization V","https://www.metacritic.com/game/pc/sid-meiers-civilization-v","Sid Meier's Civilization V","Sep 21, 2010","90","8.0","Genre(s): Strategy,                                            Turn-Based,                                            Historic,                                            Historic,                                            4X","Up to 4"
"1630853930-687","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Combat Mission: Barbarossa to Berlin","https://www.metacritic.com/game/pc/combat-mission-barbarossa-to-berlin","Combat Mission: Barbarossa to Berlin","Oct 29, 2002","89","7.7","Genre(s): Strategy,                                            Real-Time,                                            Wargame,                                            Real-Time,                                            General","1-2"
"1630853838-653","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Assassin's Creed: Brotherhood","https://www.metacritic.com/game/pc/assassins-creed-brotherhood","Assassin's Creed: Brotherhood","Mar 22, 2011","88","8.3","Genre(s): Action Adventure,                                            Historic,                                            Historic,                                            Open-World","null"
"1630853915-682","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Out of the Park Baseball 15","https://www.metacritic.com/game/pc/out-of-the-park-baseball-15","Out of the Park Baseball 15","Apr 21, 2014","89","7.2","Genre(s): Sports,                                            Traditional,                                            Team,                                            Baseball,                                            Sim","null"
"1630853880-670","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Battlefield 1942","https://www.metacritic.com/game/pc/battlefield-1942","Battlefield 1942","Sep 10, 2002","89","8.5","Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Historic,                                            Historic,                                            Arcade","64  Online"
"1630853961-696","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Rocksmith 2014 Edition","https://www.metacritic.com/game/pc/rocksmith-2014-edition","Rocksmith 2014 Edition","Oct 22, 2013","89","8.0","Genre(s): Action,                                            Miscellaneous,                                            Rhythm,                                            Music,                                            Music","No Online Multiplayer"
"1630853882-671","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Battlefield 3","https://www.metacritic.com/game/pc/battlefield-3","Battlefield 3","Oct 25, 2011","89","7.6","Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Modern,                                            Tactical,                                            Modern,                                            Arcade","null"
"1630853815-648","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Streets of Rage 4: Mr. X Nightmare","https://www.metacritic.com/game/pc/streets-of-rage-4-mr-x-nightmare","Streets of Rage 4: Mr. X Nightmare","Jul 15, 2021","88","7.5","Genre(s): Action,                                            Beat-'Em-Up,                                            2D","null"
